2020-03-17 21:17:57.9168 INFO Class: PatientService, Method: GetAllPages
2020-03-17 21:17:58.0276 INFO Class: ResourceFetchService, Method: GetAllPages
2020-03-17 21:17:58.0354 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:17:58.0890 INFO Class: AccessTokenService, Method: CreateAccessToken, Info: Acquire Token For Client.
2020-03-17 21:17:59.8855 INFO Class: PatientService, Method: GetAllPages
2020-03-17 21:17:59.8862 INFO Class: ResourceFetchService, Method: GetAllPages
2020-03-17 21:17:59.8862 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:17:59.8899 INFO Class: AccessTokenService, Method: CreateAccessToken, Info: Acquire Token For Client.
2020-03-17 21:18:04.7232 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:04.7254 ERROR Class: ProtectedWebApiCallerService, Method: ProtectedWebApiCaller, 
 Exception: System.NullReferenceException: Object reference not set to an instance of an object.
   at System.Collections.Generic.Dictionary`2.TryInsert(TKey key, TValue value, InsertionBehavior behavior)
   at System.Collections.Generic.Dictionary`2.set_Item(TKey key, TValue value)
   at HDR_UK_Web_Application.Services.ProtectedWebApiCallerService.ProtectedWebApiCaller(String webApiUrl) in /Users/jjmacakiage/Desktop/Desktop – JJ’s MacBook Pro /UCL/Year 2/Systems Engineering/hackathon/api/dotnet-azure-fhir-web-api/Services/ProtectedWebApiCallerService.cs:line 50, 
 Message: Object reference not set to an instance of an object., 
 StackTrace:    at System.Collections.Generic.Dictionary`2.TryInsert(TKey key, TValue value, InsertionBehavior behavior)
   at System.Collections.Generic.Dictionary`2.set_Item(TKey key, TValue value)
   at HDR_UK_Web_Application.Services.ProtectedWebApiCallerService.ProtectedWebApiCaller(String webApiUrl) in /Users/jjmacakiage/Desktop/Desktop – JJ’s MacBook Pro /UCL/Year 2/Systems Engineering/hackathon/api/dotnet-azure-fhir-web-api/Services/ProtectedWebApiCallerService.cs:line 50
2020-03-17 21:18:04.9560 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:05.4161 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:06.3165 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:07.2821 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:07.9599 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.3774 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7017 INFO Class: PatientService, Method: GetAllPages
2020-03-17 21:18:08.7019 INFO Class: ResourceFetchService, Method: GetAllPages
2020-03-17 21:18:08.7028 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7039 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7050 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7050 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7062 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7062 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7071 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
2020-03-17 21:18:08.7080 INFO Class: AccessTokenService, Method: GetAuthenticationResult, Info: GetOrCreateAsync AuthenticationResult.
